,"112.ua, позитивні","112.ua, нейтральні","112.ua, негативні","112.ua, загалом","24 канал, позитивні","24 канал, нейтральні","24 канал, негативні","24 канал, загалом","Гордон, позитивні","Гордон, нейтральні","Гордон, негативні","Гордон, загалом","Громадське, позитивні","Громадське, нейтральні","Громадське, негативні","Громадське, загалом","ZN.UA, позитивні","ZN.UA, нейтральні","ZN.UA, негативні","ZN.UA, загалом","Економічна правда, позитивні","Економічна правда, нейтральні","Економічна правда, негативні","Економічна правда, загалом","Еспресо ТВ, позитивні","Еспресо ТВ, нейтральні","Еспресо ТВ, негативні","Еспресо ТВ, загалом","Інтерфакс-Україна, позитивні","Інтерфакс-Україна, нейтральні","Інтерфакс-Україна, негативні","Інтерфакс-Україна, загалом","LIGA.net, позитивні","LIGA.net, нейтральні","LIGA.net, негативні","LIGA.net, загалом","LB.ua, позитивні","LB.ua, нейтральні","LB.ua, негативні","LB.ua, загалом","Obozrevatel, позитивні","Obozrevatel, нейтральні","Obozrevatel, негативні","Obozrevatel, загалом","Politeka, позитивні","Politeka, нейтральні","Politeka, негативні","Politeka, загалом","Радіо Свобода, позитивні","Радіо Свобода, нейтральні","Радіо Свобода, негативні","Радіо Свобода, загалом","РБК-Україна, позитивні","РБК-Україна, нейтральні","РБК-Україна, негативні","РБК-Україна, загалом","Сьогодні, позитивні","Сьогодні, нейтральні","Сьогодні, негативні","Сьогодні, загалом","ТСН, позитивні","ТСН, нейтральні","ТСН, негативні","ТСН, загалом","Українські новини, позитивні","Українські новини, нейтральні","Українські новини, негативні","Українські новини, загалом","Факти, позитивні","Факти, нейтральні","Факти, негативні","Факти, загалом","Фокус, позитивні","Фокус, нейтральні","Фокус, негативні","Фокус, загалом","Цензор.НЕТ, позитивні","Цензор.НЕТ, нейтральні","Цензор.НЕТ, негативні","Цензор.НЕТ, загалом","ZIK, позитивні","ZIK, нейтральні","ZIK, негативні","ZIK, загалом","Znaj.ua, позитивні","Znaj.ua, нейтральні","Znaj.ua, негативні","Znaj.ua, загалом","Страна.ua, позитивні","Страна.ua, нейтральні","Страна.ua, негативні","Страна.ua, загалом","Корреспондент.net, позитивні","Корреспондент.net, нейтральні","Корреспондент.net, негативні","Корреспондент.net, загалом","Главком, позитивні","Главком, нейтральні","Главком, негативні","Главком, загалом","Вголос, позитивні","Вголос, нейтральні","Вголос, негативні","Вголос, загалом","НВ, позитивні","НВ, нейтральні","НВ, негативні","НВ, загалом","Бабель, позитивні","Бабель, нейтральні","Бабель, негативні","Бабель, загалом","Gazeta.ua, позитивні","Gazeta.ua, нейтральні","Gazeta.ua, негативні","Gazeta.ua, загалом","Укрінформ, позитивні","Укрінформ, нейтральні","Укрінформ, негативні","Укрінформ, загалом","Суспільне, позитивні","Суспільне, нейтральні","Суспільне, негативні","Суспільне, загалом","Zaxid.net, позитивні","Zaxid.net, нейтральні","Zaxid.net, негативні","Zaxid.net, загалом","Букви, позитивні","Букви, нейтральні","Букви, негативні","Букви, загалом","Вести, позитивні","Вести, нейтральні","Вести, негативні","Вести, загалом","Телеграф, позитивні","Телеграф, нейтральні","Телеграф, негативні","Телеграф, загалом","Голос.ua, позитивні","Голос.ua, нейтральні","Голос.ua, негативні","Голос.ua, загалом","Комсомольская правда, позитивні","Комсомольская правда, нейтральні","Комсомольская правда, негативні","Комсомольская правда, загалом"
Володимир Зеленський,12345,3452,4648,20445,1223,123,543,1889,4532,3546,986,9064,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577,568,456,2553,3577
Денис Шмигаль,345678,75346,32617,453641,3324,543,2324,6191,66431,752,343,67526,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740,5849,2345,5546,13740
Віталій Кличко,84783,1232,66883,152898,4325,6543,6464,17332,6743,35436,2324,44503,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463,876,346,1241,2463
Петро Порошенко,45678,67532,4357,117567,6431,65,355,6851,8775,1034,1980,11789,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421,2535,3463,2423,8421
Віктор Ляшко,6654,1854,32668,41176,389,234,4243,4866,345,555,4313,5213,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078,255,367,6456,7078
Олексій Гончарук,86970,76899,6378,170247,134,651,7657,8442,234,23275,255,23764,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534,654,2546,1334,4534
Андрій Єрмак,6785,54336,976,62097,314,236,536,1086,765,3456,2352,6573,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776,246,765,765,1776
Максим Степанов,6678,665,456,7799,1357,6543,3452,11352,123,34542,25235,59900,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753,5342,3546,865,9753
Арсен Аваков,8732,6738,1324,16794,7663,3323,2425,13411,532,3442,25333,29307,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110,678,865,4567,6110
Міхеіл Саакашвілі,14567,8659,87,23313,6748,5446,875,13069,1346,2342,9008,12696,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475,2456,354,2665,5475