category,word,word_count
Політика,Україна/український,87903
Політика,Президент,32518
Політика,Зеленський,23082
Політика,Голова,18316
Політика,Депутат,17627
Політика,Партія,16507
Політика,Суд,16433
Політика,Питання,16323
Політика,Рада,15947
Політика,Заявив/ла,15679
Інциденти,Повідомляє,31665
Інциденти,Поліція/поліцейські,28371
Інциденти,Україна/український,21768
Інциденти,Область,16353
Інциденти,Чоловіки,16133
Інциденти,Суд,12852
Інциденти,Київ,11310
Інциденти,Місце,10612
Інциденти,Кримінальне,10135
Інциденти,Справа,9983
Коронавірус,Вакцина/вакцинація/щеплення,107480
Коронавірус,Коронавірус,47598
Коронавірус,Україна/український,44019
Коронавірус,Випадок,42193
Коронавірус,COVID,41140
Коронавірус,Область,40745
Коронавірус,Люди,22153
Коронавірус,Доба,19944
Коронавірус,Країна,16762
Коронавірус,Нові,16621
Економіка,Україна/український,45697
Економіка,Грн/гривня,38533
Економіка,Компанія,16212
Економіка,Ціна,14455
Економіка,Долар,13243
Економіка,Млн,11371
Економіка,Ринок,10868
Економіка,Млрд,10594
Економіка,Курс,9790
Економіка,Країни,8595
Закордонна політика,Повідомляє,9184
Закордонна політика,Країна,8476
Закордонна політика,Люди,6936
Закордонна політика,Заявили,4923
Закордонна політика,США,4917
Закордонна політика,Вакцина,4693
Закордонна політика,Місто,4514
Закордонна політика,Канал,3854
Закордонна політика,Світ,3844
Закордонна політика,Україна/український,3754